Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_19277;72;119;125;90;80;329
PITA_36893;0;0;0;0;0;0
PITA_43071;108;99;206;128;133;127
PITA_31484;0;0;0;0;0;0
PITA_22913;0;0;0;0;0;0
PITA_43120;37;12;94;53;24;15
PITA_19387;631;932;1335;752;789;1249
PITA_38886;52;28;137;47;44;80
PITA_15089;263;373;488;413;359;399
PITA_43425;1887;2248;3938;2742;1992;2978
PITA_44438;5;6;12;8;4;10
PITA_26651;85;52;197;84;50;73
PITA_19182;311;458;676;430;402;425
PITA_21018;0;7;9;9;0;0
PITA_00738;0;0;0;3;1;8
PITA_12881;0;0;0;3;0;0
PITA_22837;37;12;27;29;47;21
PITA_28084;3;0;14;2;4;3
PITA_24393;330;617;831;490;501;806
PITA_06390;20;3;13;20;9;15
PITA_11122;0;1;0;1;10;3
PITA_28325;4;12;7;2;2;5
PITA_04421;422;384;683;744;574;799
PITA_02148;698;692;1391;808;838;1294
PITA_46549;0;1;2;1;0;0
PITA_33978;2;0;2;0;0;1
PITA_27922;70;69;145;95;105;122
PITA_17693;183;117;378;229;0;296
PITA_45756;29;21;109;90;141;65
PITA_04237;0;0;0;0;0;0
PITA_10793;3;0;3;0;0;0
PITA_45207;141;106;376;127;70;16
PITA_38479;0;0;0;0;0;0
PITA_40230;101;143;265;135;134;144
PITA_41083;1;2;0;1;2;3
PITA_01883;0;0;0;0;0;0
PITA_15800;6;1;13;2;2;0
PITA_36030;0;0;0;0;0;0
PITA_10648;0;0;0;0;0;0
PITA_03586;0;0;0;0;0;0
PITA_07612;4;4;43;4;9;14
PITA_38928;1;21;37;3;5;7
PITA_19726;0;0;0;0;0;0
PITA_26337;88;61;79;140;159;52
PITA_43098;9482;10904;19351;12822;10059;14961
PITA_14486;31;33;101;51;52;34
PITA_38668;61;97;33;62;96;45
PITA_50226;17;0;10;17;8;8
PITA_15610;49;75;69;182;75;107
PITA_26936;20;70;40;27;28;82
PITA_15789;71;12;62;0;113;0
PITA_02801;752;1414;1608;1051;1016;1152
PITA_31703;4;0;0;3;0;0
PITA_12799;13;21;53;34;11;26
PITA_19917;98;70;508;261;98;211
PITA_41142;0;10;4;0;8;0
PITA_21911;4;5;12;10;11;13
PITA_14269;0;0;0;0;0;0
PITA_19090;0;0;0;0;0;0
PITA_45682;0;0;0;0;0;0
PITA_04896;112;100;249;155;110;82
PITA_01862;238;109;442;518;264;463
PITA_19173;0;0;0;1;0;0
PITA_49576;0;1;0;0;0;0
PITA_20319;97;48;176;55;58;127
PITA_36180;0;1;0;0;0;0
PITA_24620;0;0;0;0;0;0
PITA_18371;179;100;387;155;165;60
PITA_48694;96;67;166;193;84;88
PITA_38935;30;24;42;28;32;8
PITA_40633;0;0;0;2;0;1
PITA_38718;1;0;0;0;0;0
PITA_22856;0;0;0;0;0;0
PITA_00769;1;2;6;4;2;7
PITA_09376;0;0;0;0;0;0
PITA_16017;0;0;0;0;0;0
PITA_12741;3;0;8;1;2;0
PITA_48841;23;21;100;34;23;41
PITA_01081;236;173;554;302;262;334
PITA_21523;26;38;62;36;54;42
PITA_20069;0;0;0;1;1;0
PITA_12241;13;0;117;143;35;35
PITA_04901;0;0;0;0;3;2
